synonyms,species,dataset
Phylidonyris_melanops,Gliciphila_melanops,itis1
Phylidonyris_nigra,Phylidonyris_niger,itis1
Phylidonyris_notabilis,Glycifohia_notabilis,itis1
Phylidonyris_pyrrhoptera,Phylidonyris_pyrrhopterus,itis1
Phylidonyris_undulata,Glycifohia_undulata,itis1
Phyllastrephus_apperti,Xanthomixis_apperti,itis1
Phyllastrephus_cinereiceps,Xanthomixis_cinereiceps,itis1
Phyllastrephus_madagascariensis,Bernieria_madagascariensis,itis1
Phyllastrephus_tenebrosus,Xanthomixis_tenebrosa,itis1
Phyllastrephus_zosterops,Xanthomixis_zosterops,itis1
Phylloscartes_paulistus,Phylloscartes_paulista,itis1
Phylloscopus_poliocephalus,Phylloscopus_maforensis,itis1
Phylloscopus_ruficapillus,Phylloscopus_ruficapilla,itis1
Pinicola_subhimachalus,Pinicola_subhimachala,itis1
Pipra_coeruleocapilla,Lepidothrix_coeruleocapilla,itis1
Pipra_coronata,Lepidothrix_coronata,itis1
Pipra_iris,Lepidothrix_iris,itis1
Pipra_isidorei,Lepidothrix_isidorei,itis1
Pipra_nattereri,Lepidothrix_nattereri,itis1
Pipra_serena,Lepidothrix_serena,itis1
Pipra_suavissima,Lepidothrix_suavissima,itis1
Pipra_vilasboasi,Lepidothrix_vilasboasi,itis1
Piprites_pileatus,Piprites_pileata,itis1
Pithys_castanea,Pithys_castaneus,itis1
Pitohui_cristatus,Ornorectes_cristatus,itis1
Pitohui_ferrugineus,Pseudorectes_ferrugineus,itis1
Pitohui_incertus,Pseudorectes_incertus,itis1
Pitohui_nigrescens,Melanorectes_nigrescens,itis1
Pitta_arcuata,Pitta_arquata,itis1
Pitta_phayrei,Anthocincla_phayrei,itis1
Platycichla_flavipes,Turdus_flavipes,itis1
Platycichla_leucops,Turdus_leucops,itis1
Ploceus_dicrocephalus,Ploceus_dichrocephalus,itis1
Ploceus_nigrimentum,Ploceus_nigrimentus,itis1
Ploceus_ocularis,Ploceus_ocularis,itis1
Ploceus_pelzelni,Ploceus_pelzelni,itis1
Pomatostomus_isidorei,Garritornis_isidorei,itis1
Porphyrio_martinicus,Porphyrio_martinica,itis1
Prinia_burnesii,Laticilla_burnesii,itis1
Prinia_criniger,Prinia_crinigera,itis1
Prinia_leontica,Schistolais_leontica,itis1
Prinia_leucopogon,Schistolais_leucopogon,itis1
Procnias_alba,Procnias_albus,itis1
Procnias_tricarunculata,Procnias_tricarunculatus,itis1
Prosobonia_cancellata,Aechmorhynchus_parvirostris,itis1
Pseudocolopteryx_dinellianus,Pseudocolopteryx_dinelliana,itis1
Pseudocossyphus_imerinus,Monticola_imerina,itis1
Pseudocossyphus_sharpei,Monticola_sharpei,itis1
Pseudodacnis_hartlaubi,Dacnis_hartlaubi,itis1
Psophocichla_litsipsirupa,Psophocichla_litsitsirupa,itis1
Ptiliogonys_caudatus,Ptilogonys_caudatus,itis1
Ptiliogonys_cinereus,Ptilogonys_cinereus,itis1
Pyrrhomyias_cinnamomea,Pyrrhomyias_cinnamomeus,itis1
Ramphotrigon_megacephala,Ramphotrigon_megacephalum,itis1
Regulus_ignicapillus,Regulus_ignicapilla,itis1
Rhinomyias_addita,Rhinomyias_additus,itis1
Rhinomyias_brunneata,Rhinomyias_brunneatus,itis1
Rhinomyias_olivacea,Rhinomyias_olivaceus,itis1
Rhipidura_hypoxantha,Chelidorhynx_hypoxantha,itis1
Rhodopechys_githaginea,Bucanetes_githagineus,itis1
Rhodopechys_mongolica,Eremopsaltria_mongolica,itis1
Rhodopechys_obsoleta,Rhodospiza_obsoleta,itis1
Rhodopechys_sanguinea,Rhodopechys_sanguineus,itis1
Rhodophoneus_cruentus,Telophorus_cruentus,itis1
Rhopornis_ardesiaca,Rhopornis_ardesiacus,itis1
Rhyacornis_fuliginosus,Rhyacornis_fuliginosa,itis1
Rostratula_semicollaris,Nycticryphes_semicollaris,itis1
Rupicola_peruviana,Rupicola_peruvianus,itis1
Sakesphorus_bernardi,Thamnophilus_bernardi,itis1
Sakesphorus_melanonotus,Thamnophilus_melanonotus,itis1
Sakesphorus_melanothorax,Thamnophilus_melanothorax,itis1
Saroglossa_aurata,Hartlaubius_auratus,itis1
Saxicola_bifasciata,Campicoloides_bifasciatus,itis1
Saxicola_ferrea,Saxicola_ferreus,itis1
Saxicola_leucura,Saxicola_leucurus,itis1
Saxicola_macrorhyncha,Saxicola_macrorhynchus,itis1
Saxicoloides_fulicata,Saxicoloides_fulicatus,itis1
Scaphidura_oryzivora,Molothrus_oryzivorus,itis1
Schiffornis_turdinus,Schiffornis_turdina,itis1
Schizoeaca_moreirae,Oreophylax_moreirae,itis1
Schoenicola_platyura,Schoenicola_platyurus,itis1
Schoeniophylax_phryganophila,Schoeniophylax_phryganophilus,itis1
Scytalopus_indigoticus,Eleoscytalopus_indigoticus,itis1
Scytalopus_infasciatus,Scytalopus_griseicollis,itis1
Scytalopus_psychopompus,Eleoscytalopus_psychopompus,itis1
Seicercus_xanthoschistos,Phylloscopus_xanthoschistos,itis1
Seleucidis_melanoleuca,Seleucidis_melanoleucus,itis1
Sericornis_magnirostris,Sericornis_magnirostra,itis1
Serinus_citrinella,Carduelis_citrinella,itis1
Silvicultrix_diadema,Ochthoeca_diadema,itis1
Silvicultrix_frontalis,Ochthoeca_frontalis,itis1
Silvicultrix_jelskii,Ochthoeca_jelskii,itis1
Silvicultrix_pulchella,Ochthoeca_pulchella,itis1
Simoxenops_striatus,Syndactyla_striata,itis1
Simoxenops_ucayalae,Syndactyla_ucayalae,itis1
Siptornopsis_hypochondriacus,Siptornopsis_hypochondriaca,itis1
Skutchia_borbae,Phlegopsis_borbae,itis1
Speirops_brunneus,Zosterops_brunneus,itis1
Speirops_leucophoeus,Zosterops_leucophaeus,itis1
Speirops_lugubris,Zosterops_lugubris,itis1
Speirops_melanocephalus,Zosterops_melanocephalus,itis1
Spiloptila_clamans,Spiloptila_clamans,itis1
Spreo_albicapillus,Lamprotornis_albicapillus,itis1
Spreo_bicolor,Lamprotornis_bicolor,itis1
Spreo_fischeri,Lamprotornis_fischeri,itis1
Stachyris_ambigua,Stachyridopsis_ambigua,itis1
Stachyris_capitalis,Sterrhoptilus_capitalis,itis1
Stachyris_chrysaea,Stachyridopsis_chrysaea,itis1
Stachyris_dennistouni,Sterrhoptilus_dennistouni,itis1
Stachyris_hypogrammica,Zosterornis_hypogrammicus,itis1
Stachyris_latistriata,Zosterornis_latistriatus,itis1
Stachyris_nigrocapitata,Sterrhoptilus_nigrocapitatus,itis1
Stachyris_nigrorum,Zosterornis_nigrorum,itis1
Stachyris_plateni,Dasycrotapha_plateni,itis1
Stachyris_pyrrhops,Stachyridopsis_pyrrhops,itis1
Stachyris_rodolphei,Stachyridopsis_rodolphei,itis1
Stachyris_ruficeps,Stachyridopsis_ruficeps,itis1
Stachyris_rufifrons,Stachyridopsis_rufifrons,itis1
Stachyris_speciosa,Dasycrotapha_speciosa,itis1
Stachyris_striata,Zosterornis_striatus,itis1
Stachyris_striolata,Stachyris_strialata,itis1
Stachyris_whiteheadi,Zosterornis_whiteheadi,itis1
Stelgidopteryx_fucata,Alopochelidon_fucata,itis1
Sterna_bernsteini,Thalasseus_bernsteini,itis1
Sturnus_burmannicus,Acridotheres_burmannicus,itis1
Sturnus_contra,Gracupica_contra,itis1
Sturnus_erythropygius,Sturnia_erythropygia,itis1
Sturnus_malabaricus,Sturnia_malabarica,itis1
Sturnus_melanopterus,Acridotheres_melanopterus,itis1
Sturnus_nigricollis,Gracupica_nigricollis,itis1
Sturnus_pagodarum,Sturnia_pagodarum,itis1
Sturnus_roseus,Pastor_roseus,itis1
Sturnus_senex,Sturnia_sinensis,itis1
Sturnus_sericeus,Spodiopsar_sericeus,itis1
Sturnus_sinensis,Sturnia_sinensis,itis1
Sturnus_sturninus,Agropsar_sturninus,itis1
Sylvia_rueppelli,Sylvia_ruppeli,itis1
Sylvia_subcaeruleum,Sylvia_subcaerulea,itis1
Synallaxis_hellmayri,Gyalophylax_hellmayri,itis1
Synallaxis_whitneyi,Synallaxis_cinerea,itis1
Tachycineta_meyeni,Tachycineta_leucopyga,itis1
Tchagra_minuta,Bocagia_minuta,itis1
Tchagra_senegala,Tchagra_senegalus,itis1
Telophorus_bocagei,Chlorophoneus_bocagei,itis1
Telophorus_kupeensis,Chlorophoneus_kupeensis,itis1
Telophorus_multicolor,Chlorophoneus_multicolor,itis1
Telophorus_nigrifrons,Chlorophoneus_nigrifrons,itis1
Telophorus_olivaceus,Chlorophoneus_olivaceus,itis1
Telophorus_sulfureopectus,Chlorophoneus_sulfureopectus,itis1
Tephrodornis_gularis,Tephrodornis_virgatus,itis1
Tesia_castaneocoronata,Cettia_castaneocoronata,itis1
Thamnolaea_semirufa,Monticola_semirufus,itis1
Thryomanes_sissonii,Troglodytes_sissonii,itis1
Thryothorus_atrogularis,Pheugopedius_atrogularis,itis1
Thryothorus_coraya,Pheugopedius_coraya,itis1
Thryothorus_eisenmanni,Pheugopedius_eisenmanni,itis1
Thryothorus_euophrys,Pheugopedius_euophrys,itis1
Thryothorus_fasciatoventris,Pheugopedius_fasciatoventris,itis1
Thryothorus_felix,Pheugopedius_felix,itis1
Thryothorus_genibarbis,Pheugopedius_genibarbis,itis1
Thryothorus_griseus,Cantorchilus_griseus,itis1
Thryothorus_guarayanus,Cantorchilus_guarayanus,itis1
Thryothorus_leucopogon,Cantorchilus_leucopogon,itis1
Thryothorus_leucotis,Cantorchilus_leucotis,itis1
Thryothorus_longirostris,Cantorchilus_longirostris,itis1
Thryothorus_maculipectus,Pheugopedius_maculipectus,itis1
Thryothorus_modestus,Cantorchilus_modestus,itis1
Thryothorus_mystacalis,Pheugopedius_mystacalis,itis1
Thryothorus_nicefori,Thryophilus_nicefori,itis1
Thryothorus_nigricapillus,Cantorchilus_nigricapillus,itis1
Thryothorus_pleurostictus,Thryophilus_pleurostictus,itis1
Thryothorus_rufalbus,Thryophilus_rufalbus,itis1
Thryothorus_rutilus,Pheugopedius_rutilus,itis1
Thryothorus_sclateri,Pheugopedius_sclateri,itis1
Thryothorus_semibadius,Cantorchilus_semibadius,itis1
Thryothorus_sinaloa,Thryophilus_sinaloa,itis1
Thryothorus_spadix,Pheugopedius_spadix,itis1
Thryothorus_superciliaris,Cantorchilus_superciliaris,itis1
Thryothorus_thoracicus,Cantorchilus_thoracicus,itis1
Tiaris_fuliginosa,Tiaris_fuliginosus,itis1
Tiaris_obscura,Tiaris_obscurus,itis1
Todirostrum_calopterum,Poecilotriccus_calopterus,itis1
Todirostrum_fumifrons,Poecilotriccus_fumifrons,itis1
Todirostrum_latirostre,Poecilotriccus_latirostris,itis1
Todirostrum_plumbeiceps,Poecilotriccus_plumbeiceps,itis1
Todirostrum_russatum,Poecilotriccus_russatus,itis1
Todirostrum_senex,Poecilotriccus_senex,itis1
Todirostrum_sylvia,Poecilotriccus_sylvia,itis1
Toxorhamphus_iliolophus,Oedistoma_iliolophus,itis1
Treron_calva,Treron_calvus,itis1
Trichastoma_woodi,Leonardina_woodi,itis1
Trichixos_pyrropyga,Trichixos_pyrropygus,itis1
Trichocichla_rufa,Megalurulus_rufus,itis1
Trochocercus_albiventris,Elminia_albiventris,itis1
Trochocercus_albonotatus,Elminia_albonotata,itis1
Trochocercus_nigromitratus,Elminia_nigromitrata,itis1
Turdoides_caudatus,Turdoides_caudata,itis1
Turdoides_fulvus,Turdoides_fulva,itis1
Turdoides_hypoleucus,Turdoides_hypoleuca,itis1
Turdoides_leucocephalus,Turdoides_leucocephala,itis1
Turdoides_leucopygius,Turdoides_leucopygia,itis1
Turdoides_rubiginosus,Turdoides_rubiginosa,itis1
Turdoides_squamulatus,Turdoides_squamulata,itis1
Turdoides_striatus,Turdoides_striata,itis1
Turdoides_subrufus,Turdoides_subrufa,itis1
Turdoides_tenebrosus,Turdoides_tenebrosa,itis1
Turdus_libonyanus,Turdus_libonyana,itis1
Upucerthia_ruficauda,Upucerthia_ruficaudus,itis1
Uraeginthus_granatina,Uraeginthus_granatinus,itis1
Urocissa_erythrorhyncha,Urocissa_erythroryncha,itis1
Urolais_epichlora,Urolais_epichlorus,itis1
Uromyias_agilis,Anairetes_agilis,itis1
Uromyias_agraphia,Anairetes_agraphia,itis1
Vanellus_cayanus,Hoploxypterus_cayanus,itis1
Xanthotis_macleayana,Xanthotis_macleayanus,itis1
Xanthotis_polygramma,Xanthotis_polygrammus,itis1
Xiphirhynchus_superciliaris,Pomatorhinus_superciliaris,itis1
Xolmis_cinerea,Xolmis_cinereus,itis1
Xolmis_coronata,Xolmis_coronatus,itis1
Xolmis_velata,Xolmis_velatus,itis1
Yuhina_zantholeuca,Erpornis_zantholeuca,itis1
Zimmerius_cinereicapillus,Zimmerius_cinereicapilla,itis1
Zoothera_cameronensis,Geokichla_camaronensis,itis1
Zoothera_cinerea,Geokichla_cinerea,itis1
Zoothera_citrina,Geokichla_citrina,itis1
Zoothera_crossleyi,Geokichla_crossleyi,itis1
Zoothera_dohertyi,Geokichla_dohertyi,itis1
Zoothera_dumasi,Geokichla_dumasi,itis1
Zoothera_erythronota,Geokichla_erythronota,itis1
Zoothera_gurneyi,Geokichla_gurneyi,itis1
Zoothera_guttata,Geokichla_guttata,itis1
Zoothera_interpres,Geokichla_interpres,itis1
Zoothera_naevia,Ixoreus_naevius,itis1
Zoothera_oberlaenderi,Geokichla_oberlaenderi,itis1
Zoothera_peronii,Geokichla_peronii,itis1
Zoothera_piaggiae,Geokichla_piaggiae,itis1
Zoothera_pinicola,Ridgwayia_pinicola,itis1
Zoothera_princei,Geokichla_princei,itis1
Zoothera_schistacea,Geokichla_schistacea,itis1
Zoothera_sibirica,Geokichla_sibirica,itis1
Zoothera_spiloptera,Geokichla_spiloptera,itis1
Zoothera_wardii,Geokichla_wardii,itis1
Zosterops_atricapillus,Zosterops_atricapilla,itis1
Zosterops_borbonicus,Zosterops_borbonicus,itis1
Zosterops_citrinellus,Zosterops_citrinella,itis1
Zosterops_fuscicapillus,Zosterops_fuscicapilla,itis1
Zosterops_poliogaster,Zosterops_poliogastrus,itis1
Zosterops_rendovae,Zosterops_ugiensis,itis1
Zosterops_xanthochrous,Zosterops_xanthochroa,itis1
Ptychoramphus_aleutica,Ptychoramphus_aleuticus,itis1
Neohierax_insignis,Polihierax_insignis,itis1
Polyborus_audubonii,Caracara_cheriway,itis1
Falco_novaezeelandiae,Falco_novaeseelandiae,itis1
Francolinus_levaillantoides,Francolinus_levalliantoides,itis1
Syrmaticus_soemmerringi,Syrmaticus_soemmerringii,itis1
Catreus_wallichi,Catreus_wallichii,itis1
Dendrocopos_nuttallii,Picoides_nuttallii,itis1
Strix_virgata,Ciccaba_virgata,itis1
Ceryle_torquatus,Megaceryle_torquata,itis1
Tachymarptis_melba,Apus_melba,itis1
Campylopterus_cuvierii,Phaeochroa_cuvierii,itis1
Basilinna_xantusii,Hylocharis_xantusii,itis1
Basilinna_leucotis,Hylocharis_leucotis,itis1
Collocalia_bartschi,Aerodramus_bartschi,itis1
Ochetorhynchus_ruficaudus,Upucerthia_ruficaudus,itis1
Phyllomyias_cinereicapilla,Zimmerius_cinereicapilla,itis1
Lophotriccus_pilaris,Atalotriccus_pilaris,itis1
Philydor_dimidiatum,Syndactyla_dimidiata,itis1
Muscicapa_forficata,Tyrannus_forficatus,itis1
Lanius_tyrannus,Tyrannus_tyrannus,itis1
Anas_bernicla,Branta_bernicla,itis1
Anas_canadensis,Branta_canadensis,itis1
Anser_hutchinsii,Branta_hutchinsii,itis1
Psitteuteles_diadema,Charmosyna_diadema,itis1
Trichoglossus_josephinae,Charmosyna_josefinae,itis1
Hypocharmosyna_meeki,Charmosyna_meeki,itis1
Charmosynopsis_multistriata,Charmosyna_multistriata,itis1
Psittacus_palmarum,Charmosyna_palmarum,itis1
Psittacus_papou,Charmosyna_papou,itis1
Psittacus_placentis,Charmosyna_placentis,itis1
Trichoglossus_rubrigularis,Charmosyna_rubrigularis,itis1
Trichoglossus_wilhelminae,Charmosyna_wilhelminae,itis1
Coriphilus_rubronotatus,Charmosyna_rubronotata,itis1
Hypocharmosyna_toxopei,Charmosyna_toxopei,itis1
Trichoglossus_josefinae,Charmosyna_josefinae,itis1
Cygnus_melanocoryphus,Cygnus_melancoryphus,itis1
Asacornis_scutulata,Asarcornis_scutulata,itis1
Eos_rubra,Eos_bornea,itis1
Pyrrhura_anaca,Pyrrhura_leucotis,itis1
Anas_mollissima,Somateria_mollissima,itis1
Anas_spectabilis,Somateria_spectabilis,itis1
Fuligula_fischeri,Somateria_fischeri,itis1
Eider_mollissimus,Somateria_mollissima,itis1
Crax_pipile,Aburria_pipile,itis1
Crax_cumanensis,Aburria_cumanensis,itis1
Penelope_cujubi,Aburria_cujubi,itis1
Penelope_jacutinga,Aburria_jacutinga,itis1
Aptenodytes_crestata,Eudyptes_chrysocome,itis1
Procellaria_forsteri,Pachyptila_vittata,itis1
Pelecanoides_urinator,Pelecanoides_urinatrix,itis1
Procellaria_urinatrix,Pelecanoides_urinatrix,itis1
Oestrelata_kidderi,Aphrodroma_brevirostris,itis1
Thalassarche_melanophrys,Thalassarche_melanophris,itis1
Procellaria_albigularis,Nesofregetta_fuliginosa,itis1
Poecile_cincta,Poecile_cinctus,itis1
Poecile_hudsonica,Poecile_hudsonicus,itis1
Pygochelidon_cyanoleuca,Notiochelidon_cyanoleuca,itis1
Cyanocorax_sanblasiana,Cyanocorax_sanblasianus,itis1
Poecile_montana,Poecile_montanus,itis1
Poecile_superciliosa,Poecile_superciliosus,itis1
Dendroica_delicata,Setophaga_delicata,itis1
Dendroica_subita,Setophaga_subita,itis1
Molothrus_oryzivora,Molothrus_oryzivorus,itis1
Phaeothlypis_fulvicauda,Myiothlypis_fulvicauda,itis1
Phaeothlypis_rivularis,Myiothlypis_rivularis,itis1
Setophaga_picta,Myioborus_pictus,itis1
Chamaethlypis_poliocephala,Geothlypis_poliocephala,itis1
Clypicterus_oseryi,Psarocolius_oseryi,itis1
Zarhynchus_wagleri,Psarocolius_wagleri,itis1
Poospizopsis_caesar,Poospiza_caesar,itis1
Compsospiza_baeri,Poospiza_baeri,itis1
Compsospiza_garleppi,Poospiza_garleppi,itis1
Phlogothraupis_sanguinolenta,Ramphocelus_sanguinolentus,itis1
Erythrothlypis_salmoni,Chrysothlypis_salmoni,itis1
Oxynotus_typicus,Coracina_typica,itis1
Oxynotus_newtoni,Coracina_newtoni,itis1
Coquus_typicus,Coracina_typica,itis1
Coquus_newtoni,Coracina_newtoni,itis1
Larus_roseum,Rhodostethia_rosea,itis1
Scolopax_nigra,Haematopus_bachmani,itis1
Eupoda_montana,Charadrius_montanus,itis1
Scolopax_fedoa,Limosa_fedoa,itis1
Uria_brevirostris,Brachyramphus_brevirostris,itis1
Scolopax_haemastica,Limosa_haemastica,itis1
Tringa_canutus,Calidris_canutus,itis1
Tringa_longicauda,Bartramia_longicauda,itis1
Ardea_rufescens,Egretta_rufescens,itis1
Procellaria_hasitata,Pterodroma_hasitata,itis1
Procellaria_gravis,Puffinus_gravis,itis1
Neophron_monachus,Necrosyrtes_monachus,itis1
Brachyramphus_hypoleucus,Synthliboramphus_hypoleucus,itis1
Endomychura_hypoleuca,Synthliboramphus_hypoleucus,itis1
Pelecanus_bassanus,Morus_bassanus,itis1
Sula_bassana,Morus_bassanus,itis1
Larus_tridactylus,Rissa_tridactyla,itis1
Xenorhynchus_asiaticus,Ephippiorhynchus_asiaticus,itis1
Tringa_cinerea,Xenus_cinereus,itis1
Podiceps_rufolavatus,Tachybaptus_rufolavatus,itis1
Nycticorax_magnificus,Gorsachius_magnificus,itis1
Larus_eburneus,Pagophila_eburnea,itis1
Falco_misisippiensis,Ictinia_mississippiensis,itis1
Heterospizias_meridionalis,Buteogallus_meridionalis,itis1
Gabianus_scoresbii,Leucophaeus_scoresbii,itis1
Ardea_maguari,Ciconia_maguari,itis1
Elanoides_riocourii,Chelictinia_riocourii,itis1
Hemerodromus_cinctus,Rhinoptilus_cinctus,itis1
Speirops_leucophaeus,Zosterops_leucophaeus,itis1
Nannus_troglodytes,Troglodytes_troglodytes,itis1
Nannus_hiemalis,Troglodytes_hiemalis,itis1
Nannus_pacificus,Troglodytes_pacificus,itis1
Scytalopus_notorius,Scytalopus_speluncae,itis1
Zoothera_joiceyi,Geokichla_joiceyi,itis1
Zoothera_leucolaema,Geokichla_leucolaema,itis1
Zoothera_mendeni,Geokichla_mendeni,itis1
Laniarius_erlangeri,Laniarius_nigerrimus,itis1
Cracticus_argenteus,Cracticus_torquatus,itis1
Psophodes_leucogaster,Psophodes_nigrogularis,itis1
Bradypterus_kashmirensis,Locustella_kashmirensis,itis1
Bradypterus_davidi,Locustella_davidi,itis1
Bradypterus_alishanensis,Locustella_alishanensis,itis1
Bradypterus_mandelli,Locustella_mandelli,itis1
Bradypterus_montis,Locustella_montis,itis1
Bradypterus_timorensis,Locustella_timorensis,itis1
Lanius_gularis,Tephrodornis_virgatus,itis1
Cercotrichas_coryphoeus,Erythropygia_coryphoeus,itis1
Corvus_tropicus,Corvus_hawaiiensis,itis1
Motacilla_familiaris,Oenanthe_familiaris,itis1
Nesillas_aldabranus,Nesillas_aldabrana,itis1
Grallaria_urraoensis,Grallaria_fenwickorum,itis1
Rectes_tenebrosus,Pachycephala_tenebrosa,itis1
Pachycephala_tenebrosa,Colluricincla_tenebrosa,itis1
Malurus_clamans,Spiloptila_clamans,itis1
Dendroica_flavescens,Setophaga_flavescens,itis1
Oreothlypis_peregrina,Leiothlypis_peregrina,itis1
Sylvia_peregrina,Leiothlypis_peregrina,itis1
Oreothlypis_celata,Leiothlypis_celata,itis1
Sylvia_celatus,Leiothlypis_celata,itis1
Oreothlypis_crissalis,Leiothlypis_crissalis,itis1
Helminthophila_crissalis,Leiothlypis_crissalis,itis1
Helminthophaga_luciae,Leiothlypis_luciae,itis1
Oreothlypis_luciae,Leiothlypis_luciae,itis1
Sylvia_ruficapilla,Leiothlypis_ruficapilla,itis1
Oreothlypis_ruficapilla,Leiothlypis_ruficapilla,itis1
Helmithophila_virginiae,Leiothlypis_virginiae,itis1
Oreothlypis_virginiae,Leiothlypis_virginiae,itis1
Certhia_pinus,Setophaga_pinus,itis1
Pterocnemia_pennata,Pteroicnemia_pennata,itis2
Casuarius_casuarius,Casuarius_casurius,itis2
Apteryx_haastii,Apteryx_haasti,itis2
Apteryx_owenii,Apteryx_oweni,itis2
Nothura_darwinii,Nothura_darwini,itis2
Taoniscus_nanus,Toaniscus_nanus,itis2
Pygoscelis_antarcticus,Pygoscelis_antarctica,itis2
Eudyptes_chrysocome,Eudyptes_crestatus,itis2
Tachybaptus_dominicus,Podiceps_dominicus,itis2
Podicephorus_major,Podiceps_major,itis2
Tachybaptus_novaehollandiae,Podiceps_novaehollandiae,itis2
Tachybaptus_pelzelnii,Podiceps_pelzelnii,itis2
Poliocephalus_poliocephalus,Podiceps_poliocephalus,itis2
Rollandia_rolland,Podiceps_rolland,itis2
Tachybaptus_ruficollis,Podiceps_ruficollis,itis2
Tachybaptus_rufolavatus,Podiceps_rufolaratus,itis2
Poliocephalus_rufopectus,Podiceps_rufopectus,itis2
Phoebastria_albatrus,Diomedea_albatrus,itis2
Phoebastria_nigripes,Diomedea_nigripes,itis2
Phoebastria_immutabilis,Diomedea_immutabilis,itis2
Thalassarche_melanophris,Diomedea_melanophris,itis2
Thalassarche_cauta,Diomedea_cauta,itis2
Thalassarche_chlororhynchos,Diomedea_chlororhynchos,itis2
Thalassarche_bulleri,Diomedea_bulleri,itis2
Thalassarche_chrysostoma,Diomedea_chrysostoma,itis2
Phoebetria_fusca,Diomedea_fusca,itis2
Phoebastria_irrorata,Diomedea_irrorata,itis2
Phoebetria_palpebrata,Diomedea_palpebrata,itis2
Procellaria_cinerea,Adamastor_cinereus,itis2
Calonectris_diomedea,Puffinus_diomedea,itis2
Calonectris_leucomelas,Puffinus_leucomelas,itis2
Pterodroma_cookii,Pterodroma_cooki,itis2
Aphrodroma_brevirostris,Pterodroma_brevirostris,itis2
Pseudobulweria_rostrata,Pterodroma_rostrata,itis2
Pachyptila_vittata,Pachyptila_forsteri,itis2
Bulweria_bulwerii,Bulweria_bulweria,itis2
Pseudobulweria_macgillivrayi,Bulweria_macgillivrayi,itis2
Oceanodroma_microsoma,Halocyptena_microsoma,itis2
Nesofregetta_fuliginosa,Nesofregetta_albigularis,itis2
Papasula_abbotti,Sula_abbotti,itis2
Morus_bassanus,Sula_bassanus,itis2
Microcarbo_africanus,Phalacrocorax_africanus,itis2
Leucocarbo_albiventer,Phalacrocorax_albiventer,itis2
Leucocarbo_verrucosus,Phalacrocorax_verrucosus,itis2
Leucocarbo_atriceps,Phalacrocorax_atriceps,itis2
Leucocarbo_bougainvillii,Phalacrocorax_bougainvillii,itis2
Leucocarbo_campbelli,Phalacrocorax_campbelli,itis2
Leucocarbo_carunculatus,Phalacrocorax_carunculatus,itis2
Leucocarbo_colensoi,Phalacrocorax_colensoi,itis2
Microcarbo_coronatus,Phalacrocorax_coronatus,itis2
Microcarbo_melanoleucos,Phalacrocorax_melanoleucos,itis2
Microcarbo_niger,Phalacrocorax_niger,itis2
Ardea_insignis,Ardea_imperialis,itis2
Egretta_novaehollandiae,Ardea_novaehollandiae,itis2
Egretta_picata,Ardea_picata,itis2
Ardeola_rufiventris,Butorides_rufiventris,itis2
Butorides_striata,Butorides_striatus,itis2
Egretta_caerulea,Florida_caerulea,itis2
Egretta_rufescens,Dichromanassa_rufescens,itis2
Ardea_alba,Casmerodius_albus,itis2
Ardea_alba,Egretta_alba,itis2
Egretta_tricolor,Hydranassa_tricolor,itis2
Gorsachius_leuconotus,Nycticorax_leuconotus,itis2
Gorsachius_magnificus,Nycticorax_magnifica,itis2
Nyctanassa_violacea,Nycticorax_violaceus,itis2
Gorsachius_goisagi,Nycticorax_goisagi,itis2
Gorsachius_melanolophus,Nycticorax_melanolophus,itis2
Tigriornis_leucolopha,Tigriornis_leucolophus,itis2
Mycteria_ibis,Ibis_ibis,itis2
Mycteria_cinerea,Ibis_cinereus,itis2
Mycteria_leucocephala,Ibis_leucocephalus,itis2
Ciconia_maguari,Euxenura_maguari,itis2
Ephippiorhynchus_asiaticus,Xenorhynchus_asiaticua,itis2
Plegadis_chihi,Plegadis_chichi,itis2
Platalea_ajaja,Ajaia_ajaja,itis2
Theristicus_caerulescens,Harpiprion_caerulescens,itis2
Cygnus_atratus,Cygnus_atractus,itis2
Cygnus_cygnus,Olor_cygnus,itis2
Cygnus_columbianus,Olor_columbianus,itis2
Cygnus_buccinator,Olor_buccinator,itis2
Chen_canagica,Philacte_canagica,itis2
Chen_caerulescens,Anser_caerulescens,itis2
Chen_caerulescens,Anser_hyperboreus,itis2
Chen_canagica,Anser_canagicus,itis2
Chen_rossii,Anser_rossii,itis2
Anas_poecilorhyncha,Anas_poecilorhynca,itis2
Anas_americana,Mareca_americana,itis2
Marmaronetta_angustirostris,Anas_angustirostris,itis2
Anas_erythrorhyncha,Anas_erythrorhynchos,itis2
Callonetta_leucophrys,Anas_leucophrys,itis2
Anas_smithii,Anas_smithi,itis2
Speculanas_specularis,Anas_specularis,itis2
Salvadorina_waigiuensis,Anas_waigiuensis,itis2
Nomonyx_dominicus,Oxyura_dominica,itis2
Mergellus_albellus,Mergus_albellus,itis2
Lophodytes_cucullatus,Mergus_cucullatus,itis2
Lophonetta_specularioides,Lophonetta_specularoides,itis2
Tachyeres_brachypterus,Tachyeres_brachyapterus,itis2
Sarkidiornis_melanotos,Sarkidiornis_melanotus,itis2
Asarcornis_scutulata,Cairina_scutulata,itis2
Pteronetta_hartlaubii,Pteronetta_hartlaubi,itis2
Bucephala_albeola,Glaucionetta_albeola,itis2
