synonyms,species,dataset
Neophron_manachus,Necrosyrtes_monachus,itis1
Aegypius_tracheliotus,Torgos_tracheliotus,itis1
Melierax_gabar,Micronisus_gabar,itis1
Leucopternis_lacernulata,Leucopternis_lacernulatus,itis1
Leucopternis_plumbea,Leucopternis_plumbeus,itis1
Leucopternis_polionota,Leucopternis_polionotus,itis1
Leucopternis_schistacea,Leucopternis_schistaceus,itis1
Leucopternis_semiplumbea,Leucopternis_semiplumbeus,itis1
Heterospizias_meridianalis,Buteogallus_meridionalis,itis1
Hieraaetus_dubius,Hieraaetus_pennatus,itis1
Hieraaetus_fasciatus,Aquila_fasciata,itis1
Hieraaetus_kienerii,Lophotriorchis_kienerii,itis1
Spizastur_melanoleucus,Spizaetus_melanoleucus,itis1
Spizaetus_africanus,Aquila_africana,itis1
Spizaetus_alboniger,Nisaetus_alboniger,itis1
Spizaetus_bartelsi,Nisaetus_bartelsi,itis1
Spizaetus_cirrhatus,Nisaetus_cirrhatus,itis1
Spizaetus_lanceolatus,Nisaetus_lanceolatus,itis1
Spizaetus_nanus,Nisaetus_nanus,itis1
Spizaetus_nipalensis,Nisaetus_nipalensis,itis1
Spizaetus_philippensis,Nisaetus_philippensis,itis1
Oroaetus_isidori,Spizaetus_isidori,itis1
Falco_araea,Falco_araeus,itis1
Falco_cuvieri,Falco_cuvierii,itis1
Daptrius_americanus,Ibycter_americanus,itis1
Spiziapteryx_circumcinctus,Spiziapteryx_circumcincta,itis1
Microhierax_melanoleucus,Microhierax_melanoleucos,itis1
Polyborus_plancus,Caracara_plancus,itis1
Megapodius_pritchardi,Megapodius_pritchardii,itis1
Megapodius_wallacei,Eulipoa_wallacei,itis1
Talegalla_fuscirostis,Talegalla_fuscirostris,itis1
Ortalis_cienericeps,Ortalis_cinereiceps,itis1
Ortalis_leucogaster,Ortalis_leucogastra,itis1
Crax_mitu,Mitu_mitu,itis1
Crax_pauxi,Pauxi_pauxi,itis1
Crax_salvini,Mitu_salvini,itis1
Crax_tomentosa,Mitu_tomentosum,itis1
Crax_unicornis,Pauxi_unicornis,itis1
