"synonyms","species"
"Leucopternis_polionota","Leucopternis_polionotus"
"Leucopternis_schistacea","Leucopternis_schistaceus"
"Leucopternis_semiplumbea","Leucopternis_semiplumbeus"
"Heterospizias_meridianalis","Buteogallus_meridionalis"
"Hieraaetus_dubius","Hieraaetus_pennatus"
"Hieraaetus_fasciatus","Aquila_fasciata"
"Hieraaetus_kienerii","Lophotriorchis_kienerii"
"Spizastur_melanoleucus","Spizaetus_melanoleucus"
"Spizaetus_africanus","Aquila_africana"
"Spizaetus_alboniger","Nisaetus_alboniger"
"Spizaetus_bartelsi","Nisaetus_bartelsi"
"Spizaetus_cirrhatus","Nisaetus_cirrhatus"
"Spizaetus_lanceolatus","Nisaetus_lanceolatus"
"Spizaetus_nanus","Nisaetus_nanus"
"Spizaetus_nipalensis","Nisaetus_nipalensis"
"Spizaetus_philippensis","Nisaetus_philippensis"
"Oroaetus_isidori","Spizaetus_isidori"
"Falco_araea","Falco_araeus"
"Falco_cuvieri","Falco_cuvierii"
"Daptrius_americanus","Ibycter_americanus"
"Spiziapteryx_circumcinctus","Spiziapteryx_circumcincta"
"Microhierax_melanoleucus","Microhierax_melanoleucos"
"Polyborus_plancus","Caracara_plancus"
"Megapodius_pritchardi","Megapodius_pritchardii"
"Megapodius_wallacei","Eulipoa_wallacei"
"Talegalla_fuscirostis","Talegalla_fuscirostris"
"Ortalis_cienericeps","Ortalis_cinereiceps"
"Ortalis_leucogaster","Ortalis_leucogastra"
"Crax_mitu","Mitu_mitu"
"Crax_pauxi","Pauxi_pauxi"
"Crax_salvini","Mitu_salvini"
"Crax_tomentosa","Mitu_tomentosum"
"Crax_unicornis","Pauxi_unicornis"
"Dendrogapus_obscurus","Dendragapus_obscurus"
"Dendrogapus_canadensis","Falcipennis_canadensis"
"Dendragapus_falcipennis","Falcipennis_falcipennis"
"Canachites_canadensis","Falcipennis_canadensis"
"Bonasa_bonasia","Tetrastes_bonasia"
"Bonasa_sewerzowi","Tetrastes_sewerzowi"
"Lagopus_mutus","Lagopus_muta"
"Lagopus_leucurus","Lagopus_leucura"
"Pedioecetes_phasianellus","Tympanuchus_phasianellus"
"Dendragapus_canadensis","Falcipennis_canadensis"
"Lophortyx_californica","Callipepla_californica"
"Lophortyx_gambelii","Callipepla_gambelii"
"Lophortyx_douglasii","Callipepla_douglasii"
"Perdix_dauuricae","Perdix_dauurica"
"Perdix_hodgson","Perdix_hodgsoniae"
"Dendrortyx_macrora","Dendrortyx_macroura"
"Tetraogallus_caucasius","Tetraogallus_caucasicus"
"Francolinus_pindateanus","Francolinus_pintadeanus"
"Margaroperdix_madagascariensis","Margaroperdix_madagarensis"
"Melanoperdix_nigra","Melanoperdix_niger"
"Coturnix_corturnix","Coturnix_coturnix"
"Coturnix_novaezealandiae","Coturnix_novaezelandiae"
"Synoicus_ypsilophorus","Coturnix_ypsilophora"
"Arborophila_charltoni","Arborophila_charltonii"
"Caloperdix_oculea","Caloperdix_oculeus"
"Rollulus_roulroul","Rollulus_rouloul"
"Bambusicola_thoracica","Bambusicola_thoracicus"
"Ithaginus_cruentus","Ithaginis_cruentus"
"Lophophorus_ihuysii","Lophophorus_lhuysii"
"Lophura_leucomelana","Lophura_leucomelanos"
"Lophura_swinhoei","Lophura_swinhoii"
"Gallus_lafayettii","Gallus_lafayetii"
"Syrmaticus_reevesi","Syrmaticus_reevesii"
"Polyplectron_emphanum","Polyplectron_napoleonis"
"Polyplectron_chalcurus","Polyplectron_chalcurum"
"Afropava_congensis","Afropavo_congensis"
"Oreotyx_pictus","Oreortyx_pictus"
"Agriocharis_ocellata","Meleagris_ocellata"
"Turnix_castanota","Turnix_castanotus"
"Turnix_hottentotta","Turnix_hottentottus"
"Turnix_maculosa","Turnix_maculosus"
"Turnix_ocellata","Turnix_ocellatus"
"Turnix_sylvatica","Turnix_sylvaticus"
"Turnix_varia","Turnix_varius"
"Ortyxelox_meiffrenii","Ortyxelos_meiffrenii"
"Grus_carunculatus","Bugeranus_carunculatus"
"Anthropoides_paradisea","Anthropoides_paradiseus"
"Rallus_maculatus","Pardirallus_maculatus"
"Rallus_nigricans","Pardirallus_nigricans"
"Rallus_owstoni","Gallirallus_owstoni"
"Rallus_pectoralis","Lewinia_pectoralis"
"Rallus_philippensis","Gallirallus_philippensis"
"Rallus_rougetii","Rougetius_rougetii"
"Rallus_sanguinolentus","Pardirallus_sanguinolentus"
"Rallus_striatus","Gallirallus_striatus"
"Rallus_torquatus","Gallirallus_torquatus"
"Rallus_wakensis","Gallirallus_wakensis"
"Porzana_exquisita","Coturnicops_exquisitus"
"Porzana_marginalis","Aenigmatolimnas_marginalis"
"Laterallus_fasciatus","Anurolimnas_fasciatus"
"Laterallus_viridis","Anurolimnas_viridis"
"Porphyrula_martinica","Porphyrio_martinica"
"Porphyrula_alleni","Porphyrio_alleni"
"Porphyrula_flavirostris","Porphyrio_flavirostris"
"Tricholimnas_sylvestris","Gallirallus_sylvestris"
"Rallicula_leucospila","Rallina_leucospila"
"Rallicula_forbesi","Rallina_forbesi"
"Rallicula_mayri","Rallina_mayri"
"Rallicula_rubra","Rallina_rubra"
"Edithornis_silvestris","Gallinula_silvestris"
"Habropteryx_insignis","Gallirallus_insignis"
"Limnocorax_flavirostra","Amaurornis_flavirostra"
"Nesophylax_ater","Porzana_atra"
"Poliolimnas_cinereus","Porzana_cinerea"
"Porphyriops_melanops","Gallinula_melanops"
"Tribonyx_mortierii","Gallinula_mortierii"
"Tribonyx_ventralis","Gallinula_ventralis"
"Amaurornis_isabellinus","Amaurornis_isabellina"
"Amaurornis_olivaceus","Amaurornis_olivacea"
"Porphyriornis_nesiotis","Gallinula_nesiotis"
"Notornis_mantelli","Porphyrio_mantelli"
"Heliopais_personata","Heliopais_personatus"
"Otis_tetrax","Tetrax_tetrax"
"Eupodotis_afra","Afrotis_afra"
"Eupodotis_bengalensis","Houbaropsis_bengalensis"
"Eupodotis_hartlaubii","Lissotis_hartlaubii"
"Eupodotis_melanogaster","Lissotis_melanogaster"
"Eupodotis_ruficrista","Lophotis_ruficrista"
"Sypheotides_indica","Sypheotides_indicus"
"Charadrius_cinctus","Erythrogonys_cinctus"
"Charadrius_cucullatus","Thinornis_rubricollis"
"Charadrius_melanops","Elseyornis_melanops"
"Charadrius_novaeseelandiae","Thinornis_novaeseelandiae"
"Eudromias_morinellus","Charadrius_morinellus"
"Zonibyx_modestus","Charadrius_modestus"
"Philohela_minor","Scolopax_minor"
"Capella_gallinago","Gallinago_gallinago"
"Actitis_macularia","Actitis_macularius"
"Tringa_hypoleucos","Actitis_hypoleucos"
"Tringa_cancellatus","Aechmorhynchus_parvirostris"
"Tringa_cinereus","Xenus_cinereus"
"Tringa_macularia","Actitis_macularius"
"Heteroscelus_incanus","Tringa_incana"
"Heteroscelus_brevipes","Tringa_brevipes"
"Catoptrophorus_semipalmatus","Tringa_semipalmata"
"Calidris_cooperi","Calidris_acuminata"
"Calidris_cooperi","Calidris_ferruginea"
"Calidris_himantopis","Calidris_himantopus"
"Micropalama_himantopus","Calidris_himantopus"
"Steganopus_tricolor","Phalaropus_tricolor"
"Lobipes_lobatus","Phalaropus_lobatus"
"Burhinus_magnirostris","Esacus_magnirostris"
"Cursorius_africanus","Rhinoptilus_africanus"
"Cursorius_bitorquatus","Rhinoptilus_bitorquatus"
"Cursorius_chalcopterus","Rhinoptilus_chalcopterus"
"Cursorius_cinctus","Rhinoptilus_cinctus"
"Glareola_isabella","Stiltia_isabella"
"Chionis_alba","Chionis_albus"
"Catharacta_skua","Stercorarius_skua"
"Catharacta_maccormicki","Stercorarius_maccormicki"
"Larus_ridibundus","Chroicocephalus_ridibundus"
"Larus_atricilla","Leucophaeus_atricilla"
"Larus_pipixcan","Leucophaeus_pipixcan"
"Larus_philadelphia","Chroicocephalus_philadelphia"
